author_id,name,gender,seniority,nbpub,pubrate
1618,Hugo Zaragoza,m,17,56,3.29
1619,Hui Ding,m,14,45,3.21
1620,Hui Fang,m,12,116,9.67
1621,Hui Han,m,11,33,3
1622,Hui Li,m,21,606,28.86
1623,Hui Xiong,m,11,164,14.91
1624,Hui Yang,m,15,141,9.4
1625,Hui Zhang,m,20,403,20.15
1626,Hui-I Hsiao,m,24,26,1.08
1627,Huida Qiu,u,4,4,1
1628,Huidong Jin,u,14,46,3.29
1629,Huiji Gao,u,6,25,4.17
1630,Huijia Zhu,u,5,9,1.8
1631,Huiming Qu,u,9,12,1.33
1632,Huiping Cao,u,11,22,2
1633,Huizhong Duan,u,8,17,2.13
1634,Humberto Luiz Razente,m,12,18,1.5
1635,Huseyin Cagdas Ocalan,u,8,5,0.63
1636,Hussein A. Alzoubi,m,7,6,0.86
1637,Huzefa Rangwala,u,9,48,5.33
1638,Hwanjo Yu,u,12,73,6.08
1639,Hwee Tou Ng,w,24,83,3.46
1640,HweeHwa Pang,u,23,62,2.7
1641,Hye-Young Paik,u,13,47,3.62
1642,Hyo-Sang Lim,u,14,16,1.14
1643,Hyun Duk Kim,m,8,10,1.25
1644,Hyun Jin Moon,m,9,23,2.56
1645,Hyung-Jeong Yang,m,10,18,1.8
1646,Hyungsul Kim,u,4,8,2
1647,Hyunjung Park,u,4,12,3
1648,I. V. Ramakrishnan,u,31,176,5.68
1649,Iadh Ounis,u,18,183,10.17
1650,Ian Davidson,m,29,74,2.55
1651,Ian H. Witten,m,42,235,5.6
1652,Ian Horrocks,m,18,277,15.39
1653,Ian N. Davidson,m,29,74,2.55
1654,Ian Ruthven,m,19,87,4.58
1655,Ian Soboroff,m,18,61,3.39
1656,Ibrahim Kamel,m,22,57,2.59
1657,Idan Szpektor,m,10,24,2.4
1658,Ido Guy,m,8,50,6.25
1659,Igor Tatarinov,m,17,16,0.94
1660,Igor V. Cadez,m,15,11,0.73
1661,Ihab Al Kabary,m,4,11,2.75
1662,Ihab F. Ilyas,m,13,70,5.38
1663,Ikki Ohmukai,m,11,17,1.55
1664,Il-Yeol Song,m,24,181,7.54
1665,Ilaria Bartolini,w,15,45,3
1666,Ilaria Bordino,w,6,13,2.17
1667,Iluju Kiringa,u,13,42,3.23
1668,Iman Elghandour,m,11,8,0.73
1669,Inbal Ronen,w,8,24,3
1670,Inderjit S. Dhillon,m,19,114,6
1671,Inderpal Narang,u,29,28,0.97
1672,Indrajit Bhattacharya,u,12,28,2.33
1673,Indrajit Ray,u,18,98,5.44
1674,Indrakshi Ray,u,19,130,6.84
1675,Ines Farber,w,5,17,3.4
1676,Ingemar J. Cox,m,31,121,3.9
1677,Ingmar Weber,m,9,81,9
1678,Ioana Manolescu,w,15,113,7.53
1679,Ioana Roxana Stanoi,w,17,31,1.82
1680,Ioana Stanoi,w,17,31,1.82
1681,Ioannis Alagiannis,m,4,10,2.5
1682,Ioannis Arapakis,m,6,11,1.83
1683,Ioannis Konstantinou,m,6,17,2.83
1684,Ion Stoica,m,19,199,10.47
1685,Iosif Lazaridis,m,14,18,1.29
1686,Ippokratis Pandis,u,12,39,3.25
1687,Ira Assent,m,9,63,7
1688,Iraklis Varlamis,u,14,47,3.36
1689,Irena Koprinska,w,14,50,3.57
1690,Irina Botan,w,7,8,1.14
1691,Irina Rozenbaum,w,9,5,0.56
1692,Irini Fundulaki,w,17,45,2.65
1693,Iris Miliaraki,w,6,10,1.67
1694,Irwin King,m,18,197,10.94
1695,Isaac G. Councill,m,12,27,2.25
1696,Isabel F. Cruz,w,27,120,4.44
1697,Ismail Ari,m,12,29,2.42
1698,Ismail Sengor Altingovde,m,13,51,3.92
1699,Ismet Zeki Yalniz,m,5,9,1.8
1700,Issei Sato,m,8,23,2.88
1701,Istvan Cseri,m,17,5,0.29
1702,Istvan Pilaszy,m,7,9,1.29
1703,Itamar Rosenn,m,5,7,1.4
1704,Ivan Cantador,m,9,62,6.89
1705,Ivan Popivanov,m,12,3,0.25
1706,Ivan T. Bowman,m,16,18,1.13
1707,Ivo Jimenez,m,5,7,1.4
1708,Ivor W. Tsang,m,11,114,10.36
1709,Ivor Wai-Hung Tsang,m,11,114,10.36
1710,Iyad Batal,m,5,13,2.6
1711,J. Scott McCarley,u,16,20,1.25
1712,J. Scott Olsson,u,9,10,1.11
1713,J. Shane Culpepper,u,9,21,2.33
1714,J. Stephen Downie,u,15,75,5
1715,Ja-Ling Wu,m,30,164,5.47
1716,Jaana Kekalainen,w,16,25,1.56
1717,Jaap Kamps,m,16,149,9.31
1718,Jacco van Ossenbruggen,m,20,67,3.35
1719,Jack G. Conrad,m,20,22,1.1
1720,Jacob Eisenstein,m,15,57,3.8
1721,Jacob Ratkiewicz,m,8,12,1.5
1722,Jacobus E. van der Merwe,m,17,47,2.76
1723,Jae-Gil Lee,m,10,32,3.2
1724,Jae-wook Ahn,m,9,21,2.33
1725,Jaesoo Yoo,u,5,32,6.4
1726,Jaewon Yang,u,4,15,3.75
1727,Jaewoo Kang,u,17,45,2.65
1728,Jaewoo Lee,u,10,21,2.1
1729,Jaeyoung Do,u,5,6,1.2
1730,Jagadeesh Jagarlamudi,m,8,20,2.5
1731,Jagan Sankaranarayanan,m,11,40,3.64
1732,Jagannathan Srinivasan,u,25,38,1.52
1733,Jahna Otterbacher,u,12,28,2.33
1734,Jaideep Srivastava,m,28,216,7.71
1735,Jaideep Vaidya,m,12,112,9.33
1736,Jaime Arguello,m,9,24,2.67
1737,Jaime G. Carbonell,m,36,208,5.78
1738,Jaime Teevan,m,11,77,7
1739,Jake M. Hofman,m,5,10,2
1740,Jakub Lokoc,m,6,35,5.83
1741,Jalal Mahmud,m,9,52,5.78
1742,James A. Hendler,m,34,206,6.06
1743,James Allan,m,22,149,6.77
1744,James Bailey,m,19,128,6.74
1745,James C. French,m,24,62,2.58
1746,James Caverlee,m,10,86,8.6
1747,James Cheney,m,14,95,6.79
1748,James Cheng,m,10,53,5.3
1749,James Cook,m,27,11,0.41
1750,James F. Terwilliger,m,8,25,3.13
1751,James G. Shanahan,m,19,26,1.37
1752,James H. Kaufman,m,13,22,1.69
1753,James J. Gardner,m,6,9,1.5
1754,James J. Lu,m,25,51,2.04
1755,James Lanagan,m,7,10,1.43
1756,James M. Kang,m,8,21,2.63
1757,James Mayfield,m,38,57,1.5
1758,James P. Callan,m,29,161,5.55
1759,James T. Kwok,m,19,134,7.05
1760,James W. Warner,m,14,7,0.5
1761,Jamie Callan,m,29,161,5.55
1762,Jan Chomicki,m,29,112,3.86
1763,Jan O. Pedersen,m,24,45,1.88
1764,Jan Pieper,m,13,15,1.15
1765,Jan Prins,m,27,55,2.04
1766,Jan Rittinger,m,9,25,2.78
1767,Jan Van den Bussche,m,25,170,6.8
1768,Jan Vosecky,m,4,9,2.25
1769,Jan-Ming Ho,m,25,106,4.24
1770,Jana Schmidt,w,6,11,1.83
1771,Janet L. Wiener,w,21,48,2.29
1772,Janette Lehmann,w,5,10,2
1773,Jangwon Seo,u,7,16,2.29
1774,Jarek Gryz,m,18,46,2.56
1775,Jasmine Novak,w,11,15,1.36
1776,Jason I. Hong,m,17,91,5.35
1777,Jason Nieh,m,22,79,3.59
1778,Jason Tsong-Li Wang,m,24,120,5
1779,Jason Weston,m,15,95,6.33
1780,Jason Whitehouse,m,1,3,3
1781,Jason Y. Zien,m,21,22,1.05
1782,Jatin Chhugani,m,14,32,2.29
1783,Javed A. Aslam,m,24,90,3.75
1784,Javed Mostafa,m,18,67,3.72
1785,Javier Garcia-Garcia,m,8,15,1.88
1786,Javier Parapar,m,7,28,4
1787,Jayant Kalagnanam,m,26,42,1.62
1788,Jayant Madhavan,m,14,45,3.21
1789,Jayant R. Haritsa,m,24,113,4.71
1790,Jayavel Shanmugasundaram,u,17,67,3.94
1791,Jean-Marc Petit,m,20,72,3.6
1792,Jean-Pierre Chevallet,m,22,69,3.14
1793,Jean-Samuel Beuscart,m,6,7,1.17
1794,Jean-Sebastien Brunner,m,10,6,0.6
1795,Jeanine Weienfels,w,18,11,0.61
1796,Jeff G. Schneider,m,21,77,3.67
1797,Jeff Huang,m,15,33,2.2
1798,Jeff M. Phillips,m,12,64,5.33
1799,Jeff Pasternack,m,5,8,1.6
1800,Jeff Z. Pan,m,13,155,11.92
1801,Jeffrey Benkler,m,8,3,0.38
1802,Jeffrey C. Mogul,m,30,90,3
1803,Jeffrey Chan,m,14,25,1.79
1804,Jeffrey D. Ullman,m,48,279,5.81
1805,Jeffrey Dalton,m,20,21,1.05
